unique_number,id_no,name_en,short_description_en,justification_en,date_inscribed,secondary_dates,danger_list,longitude,latitude,area_hectares,criteria_txt,category,states_name_en,region_en,iso_code,udnp_code,transboundary
230,208,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,"<p>The cultural landscape and archaeological remains of the Bamiyan Valley represent the artistic and religious developments which from the 1st to the 13th centuries characterized ancient Bakhtria, integrating various cultural influences into the Gandhara school of Buddhist art. The area contains numerous Buddhist monastic ensembles and sanctuaries, as well as fortified edifices from the Islamic period. The site is also testimony to the tragic destruction by the Taliban of the two standing Buddha statues, which shook the world in March 2001.</p>","<p><em>Criterion (i):</em> The Buddha statues and the cave art in Bamiyan Valley are an outstanding representation of the Gandharan school in Buddhist art in the Central Asian region.</p>
<p><em>Criterion (ii)</em> : The artistic and architectural remains of Bamiyan Valley, and an important Buddhist centre on the Silk Road, are an exceptional testimony to the interchange of Indian, Hellenistic, Roman, Sasanian influences as the basis for the development of a particular artistic expression in the Gandharan school. To this can be added the Islamic influence in a later period.</p>
<p><em>Criterion (iii):</em> The Bamiyan Valley bears an exceptional testimony to a cultural tradition in the Central Asian region, which has disappeared.</p>
<p><em>Criterion (iv):</em> The Bamiyan Valley is an outstanding example of a cultural landscape which illustrates a significant period in Buddhism.</p>
<p><em>Criterion (vi):</em> The Bamiyan Valley is the most monumental expression of the western Buddhism. It was an important centre of pilgrimage over many centuries. Due to their symbolic values, the monuments have suffered at different times of their existence, including the deliberate destruction in 2001, which shook the whole world.</p>",2003,,Y 2003,67.82525,34.84694,158.9265,(i)(ii)(iii)(iv)(vi),Cultural,Afghanistan,Asia and the Pacific,af,afg,0
234,211,Minaret and Archaeological Remains of Jam,"<p>The 65m-tall Minaret of Jam is a graceful, soaring structure, dating back to the 12th century. Covered in elaborate brickwork with a blue tile inscription at the top, it is noteworthy for the quality of its architecture and decoration, which represent the culmination of an architectural and artistic tradition in this region. Its impact is heightened by its dramatic setting, a deep river valley between towering mountains in the heart of the Ghur province.</p>","<p><em>Criterion (ii):</em> The innovative architecture and decoration of the Minaret of Jam played a significant role in the development of the arts and architecture of the Indian sub-continent and beyond.</p>
<p><em>Criterion (iii): </em>The Minaret of Jam and its associated archaeological remains constitute exceptional testimony to the power and quality of the Ghurid civilization that dominated its region in the 12th and 13th centuries.</p>
<p><em>Criterion (iv): </em>The Minaret of Jam is an outstanding example of Islamic architecture and ornamentation in this region and played a significant role in their further dissemination.</p>",2002,,Y 2002,64.51605556,34.39655556,70,(ii)(iii)(iv),Cultural,Afghanistan,Asia and the Pacific,af,afg,0
1563,570,Butrint,"<p>Inhabited since prehistoric times, Butrint has been the site of a Greek colony, a Roman city and a bishopric. Following a period of prosperity under Byzantine administration, then a brief occupation by the Venetians, the city was abandoned in the late Middle Ages after marshes formed in the area. The present archaeological site is a repository of ruins representing each period in the city&rsquo;s development.</p>",,1992,1999,,20.02611111,39.75111111,,(iii),Cultural,Albania,Europe and North America,al,alb,0
212,191,Djémila,"<p>Situated 900 m above sea-level, Dj&eacute;mila, or Cuicul, with its forum, temples, basilicas, triumphal arches and houses, is an interesting example of Roman town planning adapted to a mountain location.</p>",,1982,,,5.73667,36.32056,30.6,(iii)(iv),Cultural,Algeria,Arab States,dz,dza,0
214,193,Tipasa,"<p>On the shores of the Mediterranean, Tipasa was an ancient Punic trading-post conquered by Rome and turned into a strategic base for the conquest of the kingdoms of Mauritania. It comprises a unique group of Phoenician, Roman, palaeochristian and Byzantine ruins alongside indigenous monuments such as the Kbor er Roumia, the great royal mausoleum of Mauretania.</p>",,1982,,P 2002-2006,2.383333333,36.55,52.16,(iii)(iv),Cultural,Algeria,Arab States,dz,dza,0
215,194,Timgad,"<p>Timgad lies on the northern slopes of the Aur&egrave;s mountains and was created <em>ex nihilo</em> as a military colony by the Emperor Trajan in AD 100. With its square enclosure and orthogonal design based on the <em>cardo</em> and <em>decumanus</em>, the two perpendicular routes running through the city, it is an excellent example of Roman town planning.</p>",,1982,,,6.63333,35.45,90.54,(ii)(iii)(iv),Cultural,Algeria,Arab States,dz,dza,0
667,565,Kasbah of Algiers,"<p>The Kasbah is a unique kind of medina, or Islamic city. It stands in one of the finest coastal sites on the Mediterranean, overlooking the islands where a Carthaginian trading-post was established in the 4th century BC. There are the remains of the citadel, old mosques and Ottoman-style palaces as well as the remains of a traditional urban structure associated with a deep-rooted sense of community.</p>",,1992,,,3.06028,36.78333,60,(ii)(v),Cultural,Algeria,Arab States,dz,dza,0
2062,1192,Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun,"<p>Qal’at al-Bahrain is a typical tell – an artificial mound created by many successive layers of human occupation. The strata of the 300 × 600 m tell testify to continuous human presence from about 2300 BC to the 16th century AD. About 25% of the site has been excavated, revealing structures of different types: residential, public, commercial, religious and military. They testify to the importance of the site, a trading port, over the centuries. On the top of the 12 m mound there is the impressive Portuguese fort, which gave the whole site its name, qal’a (fort). The site was the capital of the Dilmun, one of the most important ancient civilizations of the region. It contains the richest remains inventoried of this civilization, which was hitherto only known from written Sumerian references.</p>","<p><em>Criterion (ii): </em>Being an important port city, where people and traditions from different parts of the then known world met, lived and practiced their commercial activities, makes the place a real meeting point of cultures – all reflected in its architecture and development. Being in addition, invaded and occupied for long periods, by most of the great powers and empires, leaved their cultural traces in different strata of the tell.</p>
<p><em>Criterion (iii): </em>The site was the capital of one of the most important ancient civilizations of the region – the Dilmun civilization. As such this site is the best representative of this culture.</p>
<p><em>Criterion (iv): </em>The palaces of Dilmun are unique examples of public architecture of this culture, which had an impact on architecture in general in the region. The different fortifications are the best examples of defence works from the 3rd century B.C to the 16th century AD, all on one site. The protected palm groves surrounding the site are an illustration of the typical landscape and agriculture of the region, since the 3rd century BC.</p>",2005,,,50.52722222,26.23306,70.4,(ii)(iii)(iv),Cultural,Bahrain,Arab States,bh,bhr,0
48,44,Thracian Tomb of Kazanlak,"<p>Discovered in 1944, this tomb dates from the Hellenistic period, around the end of the 4th century BC. It is located near Seutopolis, the capital city of the Thracian king Seutes III, and is part of a large Thracian necropolis. The tholos has a narrow corridor and a round burial chamber, both decorated with murals representing Thracian burial rituals and culture. These paintings are Bulgaria&rsquo;s best-preserved artistic masterpieces from the Hellenistic period.</p>",,1979,,,25.4,42.61666667,0.0155,(i)(iii)(iv),Cultural,Bulgaria,Europe and North America,bg,bgr,0
240,217,Ancient City of Nessebar,"<p>Situated on a rocky peninsula on the Black Sea, the more than 3,000-year-old site of Nessebar was originally a Thracian settlement (Menebria). At the beginning of the 6th century BC, the city became a Greek colony. The city&rsquo;s remains, which date mostly from the Hellenistic period, include the acropolis, a temple of Apollo, an agora and a wall from the Thracian fortifications. Among other monuments, the Stara Mitropolia Basilica and the fortress date from the Middle Ages, when this was one of the most important Byzantine towns on the west coast of the Black Sea. Wooden houses built in the 19th century are typical of the Black Sea architecture of the period.</p>",,1983,,,27.73,42.65611,27.1,(iii)(iv),Cultural,Bulgaria,Europe and North America,bg,bgr,0
